,station,location,state,do,ph,co,bod,na,tc,water_quality_index
2,1475,ZUARI AT PANCHAWADI,GOA,6.3,6.9,179.0,1.7,0.1,5330.0,2860.78
3,3181,RIVER ZUARI AT BORIM BRIDGE,GOA,5.8,6.9,64.0,3.8,0.5,8443.0,1844.8600000000006
4,3182,RIVER ZUARI AT MARCAIM JETTY,GOA,5.8,7.3,83.0,1.9,0.4,5500.0,1852.5600000000006
5,1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,5.5,7.4,81.0,1.5,0.1,4049.0,1852.5600000000006
6,1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,6.1,6.7,308.0,1.4,0.3,5672.0,2857.04
7,3185,RIVER MANDOVI AT AMONA BRIDGE,GOA,6.4,6.7,414.0,1.0,0.2,9423.0,2857.04
8,3186,RIVER MANDOVI AT IFFI JETTY,GOA,6.4,7.6,305.0,2.2,0.1,4990.0,2863.44
9,3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA,6.3,7.6,77.0,2.3,0.1,4301.0,2864.16
10,1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,7.1,7.1,176.0,1.2,0.1,7817.0,2863.98
11,1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA,6.7,6.4,93.0,1.4,0.1,3433.0,2848.16
12,2276,"RIVER BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,7.4,6.8,121.0,1.7,0.4,18125.0,2849.7200000000007
13,2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,6.9,7.0,620.0,1.1,0.1,6300.0,2863.44
14,3189,RIVER CHAPORA AT SIOLIM,GOA,6.0,7.5,72.0,1.6,0.2,9517.0,2864.34
15,1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",GOA,7.3,7.0,247.0,1.5,0.2,2453.0,2863.8
16,2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,7.3,7.0,188.0,1.0,0.1,3048.0,2863.98
17,2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,7.0,6.9,224.0,1.2,0.3,6742.0,2860.78
18,1545,"RIVER MADAI AT DABOS NAN  VALPOI, GOA",GOA,7.3,6.7,144.0,1.5,0.1,3052.0,2857.76
19,2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,5.3,6.8,319.0,1.8,0.3,10250.0,1837.4000000000005
20,2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,6.3,6.4,79.0,1.6,1.4,12842.0,2836.92
21,2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,5.4,7.6,39.0,1.4,0.1,6367.0,1852.7400000000007
22,3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA,2.2,6.5,322.0,4.7,1.2,14920.0,27.920000000000005
23,3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA,5.2,7.1,192.0,2.6,0.3,8925.0,1852.3800000000006
24,3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,5.6,7.5,282.0,1.8,0.1,5082.0,1852.2000000000005
25,3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,5.5,7.4,275.0,1.5,0.1,8625.0,1852.2000000000005
26,1547,"RIVER TALPONA AT CANACONA, GOA",GOA,7.3,6.7,55.0,1.4,0.1,4003.0,2857.94
27,3188,RIVER TIRACOL AT TIRACOL,GOA,6.5,7.5,415.0,2.0,0.1,1538.0,2863.44
28,1544,"RIVER VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,7.2,6.3,100.0,1.5,0.1,13575.0,2836.92
29,2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,6.6,7.8,95.0,4.9,0.2,36.0,2870.72
30,1461,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA,6.9,7.9,99.0,5.0,0.4,34.0,2870.72
31,2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.8,7.7,85.0,5.2,0.3,23.0,2870.72
32,2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,6.7,7.8,80.0,4.9,0.3,29.0,2870.72
33,1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,5.1,7.3,3937.0,10.3,1.8,83.0,1848.1
34,2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,5.6,7.9,468.0,3.6,1.9,164.0,1852.78
35,1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,6.4,7.6,541.0,5.7,0.6,45.0,2870.0
36,2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,5.5,7.4,6166.0,7.7,1.1,67.0,1848.1
37,2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,5.3,7.7,24062.0,9.9,1.2,304.0,1848.1
38,2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,6.7,7.6,83.0,4.8,0.2,76.0,2865.1
39,2168,MITHI RIVER,MAHARASHTRA,3.6,7.4,4424.0,31.3,2.2,474.0,499.3000000000001
40,2676,"MUCHKUNDI RIVER AT  WAKED,RATNAGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNAGIRI.",MAHARASHTRA,7.2,7.7,226.0,3.1,0.8,130.0,2864.74
41,1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,5.9,7.4,268.0,6.4,0.4,68.0,1848.46
42,1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,5.4,7.5,2413.0,7.4,1.5,116.0,1848.1
43,2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,5.8,7.3,384.0,5.4,0.6,78.0,1852.78
44,2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA,5.9,7.4,269.0,5.1,1.2,60.0,1853.14
45,2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,6.0,7.3,269.0,8.5,0.4,58.0,2860.0600000000004
